proteinA_entrezid,proteinB_entrezid,databases
1432,203522,instruct|APID|biogrid|HINT-binary|intact
5276,56893,instruct|APID|biogrid|HINT-binary|intact|pina
5423,8969,bioplex|HIPPIE
10488,10978,APID|biogrid|litbm17|inweb|pina
1543,80218,bioplex|HIPPIE
10987,25793,bioplex|HIPPIE
7316,51504,inweb
23601,128869,bioplex|HIPPIE
7536,92283,inweb
1054,7316,inweb
6613,6900,inweb
7629,55633,intact|hiunion
10236,55666,CoFrac
4149,10169,encode
2886,51808,instruct|APID|biogrid|mint|intact|pina
4627,10627,HINT-binary|inweb|HIPPIE
4702,147700,qubic
4878,23203,bioplex
1874,90381,encode
10559,115653,hiunion
3630,219681,signalink
6464,25759,bioplex
7266,80169,bioplex
4627,26064,qubic
1956,7099,innatedb|inweb
23385,113146,bioplex
163059,386677,APID|biogrid|instruct|hiunion
8175,9879,inweb|HIPPIE|HINT-complex
3398,84260,intact|hiunion
841,10392,signalink|inweb
10726,55112,instruct|APID|HIPPIE|intact|litbm17
11162,23304,bioplex|HIPPIE
127002,375791,hiunion
3615,10535,qubic
4100,163126,pina
56935,200232,intact|hiunion
1958,10817,encode
8525,50855,inweb
7307,11168,CoFrac
3554,150709,signalink
5111,10293,interactome3d|instruct|APID|biogrid|HINT-binary|litbm17|inweb|HINT-complex
2041,8893,bioplex
8087,54984,bioplex|HIPPIE
9512,9589,CoFrac
6132,6159,CoFrac
4591,27185,intact
55075,84940,bioplex
6636,84967,bioplex
2885,7454,innatedb|inweb|HINT-complex
7316,79869,inweb
409,29123,qubic
6125,128312,inweb
1029,23163,pina|APID|biogrid|inweb
8533,64149,intact|hiunion
4222,5075,APID|biogrid|intact|mint|litbm17|inweb
5427,54107,HINT-binary|bioplex|inweb|HINT-complex
60,6927,innatedb
84330,287015,hiunion
53,3358,bioplex
8363,10013,HIPPIE
10142,727837,instruct|hiunion|APID|HIPPIE|HINT-binary|intact
5145,6774,encode
3326,9641,instruct|APID|HIPPIE|HINT-binary|intact|litbm17|inweb|pina
64837,219988,CoFrac
526,2058,CoFrac
6663,6663,APID|intact|litbm17
55030,85289,intact|hiunion
3727,6122,encode
2896,84294,intact|hiunion
5364,5879,interactome3d|inweb|instruct
890,5886,inweb
90957,386675,instruct|hiunion|APID|biogrid|HINT-binary|intact
2623,27156,encode
323,84144,bioplex|HIPPIE
85450,170572,bioplex|HIPPIE
3837,55720,bioplex
6628,11339,hiunion
374395,100534611,hiunion
9730,84464,HINT-binary|inweb|HIPPIE
29095,83862,intact|hiunion
22894,132141,bioplex
6688,27250,encode
55837,56893,instruct|APID|biogrid|HINT-binary|intact|pina
5976,7316,inweb
9618,105376752,hiunion
5347,23299,bioplex|HIPPIE|HINT-complex
81851,196472,intact|hiunion
8662,80714,hiunion
3241,25823,intact|hiunion
1874,11130,encode
5516,85440,instruct|APID|biogrid|mint|intact|pina
904,5305,bioplex
10009,10524,inweb
54206,645432,APID|biogrid
2353,11022,encode
9632,22872,qubic
8544,10657,intact
8464,117143,inweb|HIPPIE|HINT-complex
339366,386682,APID|biogrid|instruct
3909,404552,bioplex
57511,83548,HINT-binary|inweb|bioplex|CoFrac|HINT-complex
2040,3775,intact|hiunion
3172,8841,signalink
10277,10534,CoFrac
4543,9898,APID|intact|biogrid
3958,8540,CoFrac
158427,201163,mint|APID|intact
51100,56904,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|HINT-complex
1994,4087,innatedb
4929,6925,encode
5087,55536,intact|hiunion
375791,107987373,hiunion
2036,7529,pina|APID
2746,2746,interactome3d
1207,7316,inweb
6093,79637,signalink
5781,9874,APID|intact|biogrid|hiunion
6279,84966,instruct|APID|biogrid|HINT-binary|intact|pina
8315,84911,APID|intact|biogrid
8737,22933,inweb
56652,57669,qubic
1857,79856,instruct|hiunion|APID|biogrid|HINT-binary|intact|pina
8239,9632,CoFrac
6608,123606,mint|intact
6713,80346,intact|hiunion
5305,6046,bioplex
1457,84502,bioplex
1783,51143,HINT-binary|HIPPIE|qubic|CoFrac
2934,10634,bioplex|HIPPIE
4659,51564,inweb
3181,29780,intact
23361,440295,intact|hiunion
29767,56005,intact
3042,4246,bioplex
8453,9616,instruct|APID|biogrid|HIPPIE|HINT-binary|litbm17|inweb
5079,57535,encode
10576,164395,bioplex
5121,10664,encode
1856,83737,inweb|HIPPIE|HINT-complex
166,55668,intact|hiunion
2634,6774,encode
7532,84952,instruct|APID|biogrid|HINT-binary|intact
580,10487,APID|litbm17|biogrid
10664,100462977,encode
1859,63978,signalink
10241,23405,inweb
8454,9314,inweb
51118,64376,bioplex
830,23164,qubic
3846,51701,instruct|hiunion|APID|biogrid|HINT-binary|intact
4543,5195,APID|intact|biogrid
10594,84811,interactome3d
10202,10915,intact
5020,60491,bioplex
2101,2875,encode
5651,5651,insider|instruct
5991,7205,instruct|hiunion|APID|biogrid|HINT-binary|intact
51512,80179,qubic
2975,55147,pina|APID|biogrid|instruct
3725,7251,APID|biogrid|litbm17|inweb|pina
6187,6210,HINT-binary|interactome3d|CoFrac
25959,286133,hiunion
7013,203569,instruct|APID|biogrid|HINT-binary|intact|pina
8338,8360,HIPPIE
79364,116225,intact|hiunion
7316,79720,inweb
7111,54822,PhosphoSP|KinomeNetX
1019,55746,qubic|KinomeNetX
4580,80333,bioplex|HIPPIE
9111,79648,APID|biogrid
3554,3557,interactome3d|instruct|innatedb|APID|biogrid|HIPPIE|HINT-binary|intact|insider|inweb
661,3225,pina|APID|biogrid|instruct
994,8556,inweb
695,25879,signalink
8330,8353,HIPPIE
3725,7290,encode|signalink
2175,10135,pina|APID|biogrid
84707,386681,instruct|hiunion|APID|biogrid|HINT-binary|intact
590,4016,bioplex
27301,201626,CoFrac
2113,8356,encode
64763,116115,qubic
3930,9775,CoFrac
9040,9820,inweb
55677,90378,qubic
56898,112942,bioplex
57567,386676,hiunion
6138,23521,qubic
1051,129831,encode
1745,4089,inweb|HIPPIE
3178,7534,HIPPIE|HINT-complex
83755,353143,intact|hiunion
3134,55540,bioplex
1952,440533,bioplex
4665,51759,bioplex
408,5451,hiunion
4188,9212,KinomeNetX
79142,84312,bioplex
26240,79814,CoFrac
1017,29883,inweb|HIPPIE
6647,10514,APID|intact
7454,10054,inweb
367,5813,signalink
2060,2885,instruct|APID|signalink|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|pina
84941,92483,instruct|APID|biogrid|HINT-binary|intact|litbm17
26239,386681,intact|hiunion
7965,10471,intact|hiunion
5654,9425,pina|APID
26993,83741,intact|hiunion
3221,5451,inweb
25942,26959,instruct|APID|biogrid|HIPPIE|litbm17|inweb|pina|HINT-complex
79001,79001,APID|litbm17|biogrid
10775,163590,bioplex
4843,5321,innatedb
5586,644591,bioplex
2099,7296,instruct|APID|HIPPIE|litbm17|inweb|HINT-complex
29128,55062,bioplex|HIPPIE
4223,79839,hiunion
2059,29911,instruct|hiunion|APID|biogrid|HINT-binary|intact|pina
2580,8615,instruct|hiunion|qubic|APID|biogrid|HINT-binary|intact|pina
84445,91746,APID|intact|biogrid|instruct
3605,10758,inweb
284355,388324,intact|hiunion
6134,6202,HINT-binary|inweb|HIPPIE
10929,23512,innatedb
5161,9546,bioplex
353131,653240,intact|hiunion
58,6714,HIPPIE|HINT-complex
640,5829,hiunion
81851,730755,hiunion
1385,8357,HIPPIE
238,79637,signalink
593,10611,qubic
4609,11222,encode
708,708,interactome3d|instruct|qubic|HIPPIE|HINT-binary|insider
9110,127396,bioplex
2038,2672,innatedb
4899,10179,encode
3950,26156,intact
545,23584,bioplex|HIPPIE
9498,57231,bioplex
267,51669,inweb
7415,10238,signalink
6668,54522,encode
4088,55138,intact|hiunion
4170,7157,HIPPIE
83606,84105,hiunion
780,9112,KinomeNetX
65065,84501,qubic
23555,163183,instruct|hiunion|APID|biogrid|HINT-binary|intact
2244,10291,bioplex
898,7343,inweb
9782,22976,inweb
7270,10535,qubic
810,4646,qubic
2975,146540,bioplex
3866,115106,instruct|hiunion|APID|biogrid|HINT-binary|intact
583,27241,instruct|HIPPIE|HINT-binary|intact|inweb
5612,158405,intact|hiunion
6327,6335,instruct
5092,53353,pina|APID|intact
5829,8502,signalink
5933,9819,APID|biogrid
7009,27240,intact|hiunion
7412,27243,APID|intact
5594,55290,encode|signalink
83878,338785,instruct|hiunion|APID|biogrid|HINT-binary|intact
2122,10856,innatedb
7316,131566,inweb
6720,161424,encode
7529,84254,inweb
1327,7416,instruct|APID|HIPPIE|HINT-binary|intact|HINT-complex
891,1027,qubic|inweb|HIPPIE
55143,140690,encode
638,1534,intact|hiunion
1874,8678,innatedb
4436,4609,HIPPIE|biogrid|HINT-complex|inweb
2275,5594,innatedb
8726,79869,innatedb
4899,106627982,encode
7189,148022,instruct|innatedb|APID|signalink|biogrid|HIPPIE|HINT-binary|litbm17|inweb|HINT-complex
5911,7316,inweb
5879,23526,inweb
367,5501,signalink
9260,81873,qubic
63978,140885,signalink
10950,158787,bioplex
4236,11043,instruct|hiunion|APID|biogrid|HINT-binary|intact
8702,55768,bioplex|HIPPIE
7316,55256,inweb
6652,9260,qubic
7314,8887,interactome3d|intact|hiunion
1267,23410,bioplex|HIPPIE
973,51257,intact|hiunion
2264,29893,instruct|APID|biogrid|HINT-binary|intact|mint
122183,146325,hiunion
1876,8318,encode
