proteinA_entrezid,proteinB_entrezid,databases
79637,79869,instruct|hiunion|APID|biogrid|HINT-binary|intact
29896,135295,bioplex|HIPPIE
373,65265,instruct|hiunion|innatedb|APID|biogrid|HINT-binary|intact
91663,120939,bioplex
6772,57674,encode
23254,84951,hiunion
7913,9555,inweb
2962,5631,bioplex|HIPPIE
50943,57118,signalink
55294,64798,inweb
57085,151393,instruct|hiunion|APID|biogrid|HINT-binary|intact
5052,10449,CoFrac
5147,6888,bioplex|HIPPIE
6168,6187,HINT-binary|HIPPIE|CoFrac
2274,83719,hiunion
8195,55212,HINT-binary|inweb|HIPPIE
7113,161145,intact|hiunion
3691,9635,HIPPIE
5519,5529,instruct|APID|biogrid|HINT-binary|intact|litbm17|inweb|HINT-complex
10664,57541,encode
493,2319,APID|intact
9296,11065,CoFrac
5591,9971,inweb
64969,79188,CoFrac
3909,5340,inweb
3065,6605,pina|inweb
388,29950,innatedb|APID|intact|inweb|pina
6908,8338,encode
9919,10802,qubic|inweb
7726,23586,inweb
1051,29979,encode
83755,199834,instruct|hiunion|APID|biogrid|HINT-binary|intact
11198,56254,inweb
9021,26136,APID|intact|biogrid|instruct
824,3718,qubic
1728,6223,CoFrac
2113,27102,signalink
5717,29117,instruct|APID|biogrid|HINT-binary|intact|pina
5784,260425,bioplex
5770,9725,bioplex
7391,8934,encode
7531,121504,innatedb|HIPPIE
5784,7533,HIPPIE|HINT-complex
10281,84809,bioplex
801,6331,HIPPIE|biogrid
3983,4836,bioplex|HIPPIE
80176,80176,insider
127544,219333,bioplex
1780,6607,instruct|APID|mint|intact|pina
4005,5152,instruct|hiunion|APID|biogrid|HINT-binary|intact
3326,4293,instruct|APID|HINT-binary|intact|litbm17|pina
8503,27037,instruct|APID|biogrid|mint|intact|pina
3643,222643,bioplex
127540,386684,instruct|hiunion|APID|biogrid|HINT-binary|intact
7157,9063,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|pina|HINT-complex
6633,51550,intact|hiunion
54765,221154,bioplex
6598,27327,APID|biogrid
6772,84734,encode
1192,6688,encode|signalink
3664,5268,innatedb
367,3678,signalink
10240,29896,bioplex|HIPPIE
708,3184,instruct|APID|biogrid|HIPPIE|pina
6908,10209,encode
10020,10253,instruct|hiunion|APID|biogrid|HINT-binary|intact
1653,80146,bioplex
4223,85302,instruct|hiunion|APID|biogrid|HINT-binary
81616,84319,bioplex
330,7323,instruct|innatedb|APID|biogrid|HIPPIE|HINT-binary|litbm17|inweb|pina|HINT-complex
23592,148066,bioplex
2648,5318,signalink
1946,57175,signalink
3892,4956,intact|hiunion
6199,6895,PhosphoSP
2995,7920,intact|hiunion
2773,2783,APID|biogrid|litbm17|inweb|pina|bioplex
70,4654,signalink
9474,56850,intact|hiunion
3476,10726,CoFrac
8243,8355,HIPPIE
5931,25925,bioplex|HIPPIE
27156,79839,instruct|hiunion|APID|biogrid|HINT-binary|intact
9732,9844,APID|biogrid|HIPPIE|litbm17|bioplex
5293,8503,innatedb|intact|bioplex|hiunion
2631,3329,qubic|HIPPIE
3985,11269,KinomeNetX
7316,51293,inweb
55143,161424,qubic
1785,5371,qubic
672,9656,inweb|HIPPIE|HINT-complex
3609,7205,instruct|APID|biogrid|HIPPIE|HINT-binary|pina
7316,63826,inweb
5916,11009,instruct|APID|biogrid|HINT-binary|intact
3995,84619,bioplex
341350,102724334,intact
7248,79165,intact|hiunion
8411,29127,qubic
4774,6428,CoFrac
1447,4802,instruct|APID|biogrid|HINT-binary|intact
7905,51573,bioplex|HIPPIE
8760,79845,intact|hiunion
283489,283489,qubic
84708,113878,intact|hiunion
4851,8705,APID|biogrid
55216,57703,bioplex
4832,27241,bioplex
55929,64431,bioplex|HIPPIE
1958,6609,encode|innatedb
51149,54935,intact|hiunion
24144,152206,intact|hiunion
79770,253782,bioplex|HIPPIE
5575,100528020,hiunion
164,79719,inweb|bioplex|HIPPIE|hiunion
3638,6721,inweb|HIPPIE|HINT-complex
6554,254428,intact|hiunion
3801,84080,hiunion
55173,65993,bioplex
8837,64422,innatedb|inweb
207,3276,KinomeNetX
150,79012,signalink
71,6868,signalink
51316,51741,hiunion
3455,55156,signalink
1129,79581,mint|intact
1822,114823,instruct|hiunion|APID|biogrid|HINT-binary|intact
1003,6464,inweb
2495,353376,APID|intact|biogrid|instruct
2049,6259,signalink|inweb
8560,401152,bioplex|HIPPIE|hiunion
3889,337967,intact|hiunion
3725,283487,encode
5784,80014,HIPPIE|HINT-complex
667,4606,APID|intact|instruct
1869,11100,encode
10342,284677,HIPPIE
1457,3603,innatedb|PhosphoSP|inweb|KinomeNetX
6789,64087,HIPPIE
3358,9375,mint|intact
4691,83889,intact
8027,10277,inweb
5297,8710,bioplex
51474,57003,qubic
1485,164592,hiunion
1457,4067,KinomeNetX
27089,55142,qubic
6495,6497,inweb
27230,56681,intact|hiunion
145483,283234,intact|hiunion
11011,25842,PhosphoSP|instruct|qubic|APID|biogrid|KinomeNetX|HINT-binary|litbm17|inweb|pina|bioplex
421,10617,signalink
27095,163782,bioplex
968,1997,innatedb
491,8694,bioplex
55361,219931,bioplex
6421,6601,bioplex
1946,10025,signalink
9604,10664,encode
4089,26994,inweb
80011,120892,APID|intact
9314,100506658,innatedb
6938,27297,instruct|hiunion|APID|biogrid|HINT-binary|intact
1158,8227,bioplex
4609,9043,signalink
9554,10484,HINT-binary|interactome3d|instruct
11043,80028,instruct|hiunion|APID|biogrid|HINT-binary|intact
4686,7316,inweb
9093,80022,instruct|hiunion|APID|biogrid|HINT-binary
22985,23246,CoFrac
10664,11248,encode
7042,7049,instruct|HIPPIE|HINT-binary|inweb|HINT-complex
115265,256364,intact|hiunion
84616,85291,intact|hiunion
5435,55718,qubic|inweb
1186,5878,qubic
695,10517,signalink
9576,10524,signalink
6281,401994,intact
8674,200232,intact|hiunion
55061,170384,bioplex|HIPPIE
4148,7018,bioplex|HIPPIE
868,3839,signalink
3157,4800,encode|bioplex|HIPPIE
9513,283208,bioplex
412,2530,bioplex
6017,57563,hiunion
7186,57616,instruct|hiunion|APID|biogrid|HINT-binary|intact
22995,54875,qubic
1956,55620,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17
6175,9349,HINT-binary|CoFrac
5931,8350,HIPPIE
84530,171483,intact|hiunion
6613,55421,HIPPIE
3886,79065,hiunion
57508,345757,bioplex
908,3065,qubic|inweb
9382,54956,bioplex|HIPPIE
9349,9532,qubic
3482,9576,signalink
5594,10000,KinomeNetX
3500,54575,bioplex|HIPPIE
4615,7097,instruct|innatedb|APID|signalink|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|HINT-complex
1647,11161,instruct|APID|biogrid|mint|intact|pina
23281,116236,hiunion
1000,254863,CoFrac
1388,55607,bioplex
2767,7222,HIPPIE
6431,55692,hiunion
26088,55722,bioplex
23389,84246,HINT-binary|inweb|HIPPIE|HINT-complex
6774,22904,encode
3284,4677,bioplex
7311,10043,inweb
2033,8366,encode|HIPPIE
2885,55243,inweb
2131,5727,bioplex|HIPPIE
386678,494514,HINT-binary|APID|intact|instruct
1743,4336,intact
9277,692312,bioplex
4067,10399,inweb
1856,5910,signalink
3791,6815,mint|APID|intact|biogrid
2267,54888,bioplex|HIPPIE
5825,55333,CoFrac
6772,55299,encode
9491,222389,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|pina
54461,386683,intact|hiunion
150,9212,signalink
55421,55884,bioplex
5292,54971,instruct|hiunion|APID|biogrid|HINT-binary|intact
9947,55268,APID|biogrid|intact|inweb|pina
4313,4543,APID|intact|biogrid
5690,56984,bioplex
1741,2898,inweb|HIPPIE
3224,81851,intact|hiunion
4089,7311,inweb
2784,51764,inweb|HIPPIE
3851,3868,intact|hiunion
1445,5566,PhosphoSP|KinomeNetX
4141,26260,pina
55237,84932,intact|hiunion
51533,54778,instruct|APID|biogrid|HINT-binary|intact|pina
6202,63875,bioplex|HIPPIE
7156,10380,bioplex
5700,7337,qubic|HIPPIE|HINT-complex
166,3188,instruct|APID|biogrid|HINT-binary|intact
7494,143471,inweb
1196,8893,KinomeNetX
650,5910,signalink
1029,84960,pina|APID
2353,2624,signalink
5518,54973,qubic|HIPPIE|HINT-complex
7163,10127,encode
7159,642938,hiunion
3276,9205,instruct|APID|biogrid|mint|intact|pina
10135,27185,intact
705,4000,APID|biogrid
145946,375791,intact|hiunion
375791,100534012,hiunion
4864,81622,innatedb
1856,7428,inweb|HIPPIE
8454,10980,innatedb|HIPPIE|HINT-binary|inweb|HINT-complex
6613,79618,HIPPIE
1948,6305,bioplex|HIPPIE
1501,3572,signalink
3656,3836,signalink
5764,9913,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|pina
8886,10664,encode
4076,10059,APID|intact
6452,9260,instruct|APID|biogrid|HINT-binary|intact
5610,9636,innatedb
254910,353131,intact|hiunion
1460,3800,pina|inweb
2042,8345,intact
84914,90957,intact|hiunion
7020,80174,APID|intact
2997,653140,intact|hiunion
6272,79590,qubic
5518,51070,inweb
2064,93436,signalink
1410,7157,inweb|HIPPIE|HINT-complex
26036,56341,APID|biogrid|mint|intact|pina
5411,79882,bioplex
3784,10142,inweb|HIPPIE|HINT-complex
6656,6774,inweb
26330,55509,bioplex
58478,64170,bioplex
7341,51341,inweb
2706,63967,qubic
5876,11031,bioplex|HIPPIE
329,54739,innatedb|inweb
7334,10210,instruct|APID|biogrid|HINT-binary|intact|pina
11117,23259,bioplex
152831,152831,instruct
5451,5566,inweb
1499,79637,signalink
810,4478,qubic
2203,64430,instruct|hiunion|APID|biogrid|HINT-binary|intact|pina
1051,64395,encode
6238,29128,qubic
4154,9326,instruct|APID|biogrid|HINT-binary|intact
9277,51634,bioplex
57466,144108,CoFrac
819,1958,innatedb
540,1191,inweb|HIPPIE|HINT-complex
54988,79731,bioplex
662,51170,intact|hiunion
51150,114787,bioplex|HIPPIE
22919,59349,intact|hiunion
1660,10614,inweb|HIPPIE|HINT-complex
5970,51295,inweb
4215,5566,APID|intact|HIPPIE
10538,23495,encode
4000,4818,APID|biogrid
10664,219699,encode
63978,112401,signalink
6184,56666,intact
9374,55739,bioplex
2624,727758,encode
8449,11157,CoFrac
8419,282991,intact|hiunion
4790,8370,inweb
5885,56099,encode
2520,90993,intact|hiunion
9638,60592,instruct|APID|biogrid|HIPPIE|HINT-binary|inweb|bioplex
4763,114609,innatedb
1499,23291,qubic|inweb|HIPPIE|HINT-complex
55035,55605,qubic
2358,256471,bioplex
5575,5577,inweb|bioplex|HIPPIE
7169,7314,innatedb
581,55814,qubic
10534,80022,pina|biogrid|instruct|hiunion
127700,163782,bioplex
6233,10782,bioplex
9970,11187,signalink
4946,51588,instruct|APID|biogrid|intact|pina
10318,121457,bioplex
8487,345651,bioplex
7157,25898,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|HINT-complex
5705,6097,instruct|hiunion|APID|biogrid|intact
4155,58190,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|bioplex
23242,29993,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|inweb|bioplex
1499,8313,instruct|signalink|HIPPIE|HINT-binary|inweb|HINT-complex
84557,139341,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
3320,8139,HIPPIE|HINT-complex
5465,7918,hiunion
3725,8678,innatedb
4830,30000,instruct|hiunion|APID|biogrid|HINT-binary|intact
905,8021,encode
6844,84522,intact|hiunion
1147,55054,PhosphoSP
10016,55048,instruct|hiunion|APID|biogrid|HINT-binary|intact
6723,7316,inweb
989,1062,pina|APID|biogrid|inweb
2571,4690,pina|APID|intact|instruct
8689,84069,hiunion
5565,85289,intact|hiunion
7372,89953,qubic
51318,54534,qubic|inweb|bioplex|HIPPIE
125,9659,instruct|APID|biogrid|HINT-binary|intact
7020,100151684,encode
1946,54831,intact|hiunion
383,2146,innatedb
7273,25777,inweb
3655,132724,bioplex
6125,8233,bioplex
3059,6850,PhosphoSP|APID|HIPPIE|KinomeNetX|intact
351,8337,innatedb|HIPPIE|HINT-complex
85464,399687,qubic
3170,145258,inweb
4000,8187,APID|biogrid|litbm17|inweb|pina
4654,5721,instruct|APID|biogrid|HINT-binary|intact
2045,79866,bioplex
5861,26003,HIPPIE
3169,642843,encode
3661,148137,encode
2740,2813,APID|biogrid
1493,6777,APID|intact|HIPPIE
4602,5600,inweb
1643,8451,qubic|innatedb|HIPPIE|HINT-binary|inweb|bioplex|HINT-complex
23327,219681,signalink
1437,7702,signalink
6709,57731,APID|biogrid
8766,117177,interactome3d|instruct|APID|biogrid|HIPPIE|HINT-binary|intact|insider|inweb|HINT-complex
367,2059,signalink
9228,9256,APID|biogrid|instruct
84908,129401,bioplex
4869,57158,intact
1024,9440,qubic|HIPPIE|HINT-binary|inweb|bioplex|HINT-complex
55294,400569,inweb|HIPPIE|HINT-complex
4008,728378,qubic
3309,51726,inweb|bioplex|HIPPIE|HINT-complex
5903,6872,instruct|APID|biogrid|HINT-binary|intact
7341,219681,signalink
3881,148266,instruct|hiunion|APID|biogrid|HINT-binary|intact
373,220136,instruct|hiunion|APID|biogrid|HINT-binary|intact
120892,100131997,APID|intact
3320,3327,CoFrac
6449,22824,HINT-binary|inweb
84300,84548,bioplex
2752,6498,instruct|APID|biogrid|mint|intact|pina
6625,11051,inweb|HIPPIE
2801,27185,intact
840,5663,inweb|HIPPIE
6189,200558,inweb
3315,3875,APID|litbm17|biogrid
3265,266747,APID|biogrid|HIPPIE|litbm17|inweb
3133,79937,bioplex|HIPPIE
4852,7376,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|pina
9240,220136,instruct|hiunion|APID|biogrid|HINT-binary|intact
90378,148066,bioplex
90121,221504,instruct|hiunion|APID|biogrid|HINT-binary|intact
2624,11329,signalink
83741,85294,intact|hiunion
4817,10534,bioplex
7182,23633,signalink
8625,375444,bioplex
3009,23244,intact
5648,10747,inweb
2033,6777,signalink|HIPPIE
2055,10550,pina|APID|biogrid
3320,5792,biogrid
1716,202915,bioplex
5786,55671,qubic
6790,55031,bioplex|HIPPIE
5079,201627,encode
84708,163486,hiunion
1844,6722,encode
9126,10769,encode
3066,125997,pina|innatedb|inweb
3727,7171,encode
5976,51072,bioplex|HIPPIE
5885,90507,encode
7321,23327,inweb|HIPPIE|HINT-complex
363,10385,intact|hiunion
7337,7763,HIPPIE
8440,171177,APID|mint|intact|litbm17|inweb|pina
79139,83417,intact|hiunion
84140,167691,inweb
1264,57484,bioplex
9322,9912,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|bioplex
7681,343637,intact|hiunion
6785,84522,hiunion
10051,10381,inweb
1327,9377,bioplex|HIPPIE|HINT-complex
6886,148534,encode
81555,112464,qubic
5901,8498,inweb|HIPPIE|HINT-complex
5764,10944,instruct|APID|biogrid|mint|intact|pina
3192,55646,qubic
5689,7186,intact|hiunion
7284,9793,qubic
2113,54806,signalink
1894,57215,APID|biogrid
4801,56922,encode
10783,222389,hiunion
894,3105,interactome3d|instruct
4602,5763,pina|APID|intact
571,79184,inweb
8548,283385,hiunion
3396,64978,interactome3d
493,6521,APID|intact
942,8370,inweb
83732,94104,KinomeNetX
2832,81850,hiunion
64098,81565,intact|hiunion
23028,79571,intact|hiunion
7091,79084,inweb
695,9576,signalink
7347,84196,CoFrac
56136,136051,bioplex
346,3429,intact|hiunion
2107,6136,interactome3d|insider|instruct
7319,85451,CoFrac
9562,27290,bioplex
55093,57159,instruct|hiunion|APID|biogrid|HINT-binary|intact
4712,4725,inweb
4193,84132,inweb
63978,147687,intact
4137,11200,PhosphoSP|KinomeNetX
6733,55916,innatedb
405,55342,instruct|APID|biogrid|HINT-binary|intact
9862,54797,HIPPIE|HINT-binary|inweb|bioplex|CoFrac|HINT-complex
6233,10254,interactome3d|instruct
7316,26580,inweb
9263,25898,KinomeNetX
2185,10137,KinomeNetX
1017,5934,PhosphoSP|HIPPIE|KinomeNetX|HINT-binary|inweb|bioplex|HINT-complex
9793,11064,inweb
57556,57630,instruct|APID|biogrid|HIPPIE|intact|pina
197259,197259,HINT-binary|qubic|instruct
9747,337959,hiunion
2908,3001,innatedb
3312,79982,inweb|HIPPIE
1432,26259,bioplex|HIPPIE
3327,64754,bioplex|HIPPIE
1946,51458,intact|hiunion
4704,84273,inweb
920,6850,signalink|inweb
248,386678,HINT-binary|APID|intact|instruct
4176,24144,HINT-binary|APID|biogrid|instruct
25801,79096,hiunion
6625,27316,bioplex
10253,199834,instruct|hiunion|APID|biogrid|HINT-binary|intact
1284,5653,inweb
30827,57669,bioplex
154,23633,signalink
9767,10535,qubic
1340,7381,bioplex|HIPPIE
8602,84501,qubic
3398,23582,inweb
55763,57639,intact
3397,7022,encode
960,8826,inweb
3959,51071,qubic
4149,4232,encode
369,867,KinomeNetX
488,54929,qubic
2709,7703,instruct|APID|biogrid|HINT-binary|intact
9295,51639,CoFrac
90,4998,KinomeNetX
51170,207063,intact|hiunion
65005,128308,CoFrac
338,3304,HIPPIE
291,5581,inweb
83896,337966,intact|hiunion
4629,7316,inweb
898,1869,HINT-binary|innatedb|signalink|inweb
509,4719,CoFrac
467,10328,encode
3846,55337,instruct|hiunion|APID|biogrid|HINT-binary|intact
3310,7013,instruct|APID|biogrid|HINT-binary|intact|pina
51030,57406,intact|hiunion
10664,23512,instruct|APID|biogrid|HIPPIE|litbm17|inweb|HINT-complex
8370,57658,inweb
6138,90441,qubic
1958,25778,encode
4940,5119,CoFrac
257397,285753,instruct|hiunion|APID|biogrid|HINT-binary
11004,127253,bioplex
28955,79669,intact|hiunion
5976,84365,bioplex|HIPPIE
3159,347273,intact
4627,170954,qubic
7316,54941,inweb
55681,92181,KinomeNetX
2475,79020,instruct|APID|biogrid|mint|intact|pina
4790,10318,encode|instruct|innatedb|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb
4122,160364,bioplex|HIPPIE
4259,79073,intact|hiunion
810,9260,qubic
10524,64396,instruct|APID|biogrid|HINT-binary|intact
6857,80331,intact
58,9636,innatedb
910,2621,bioplex|HIPPIE
9412,9440,bioplex|CoFrac
22841,84440,APID|biogrid|HIPPIE|inweb|pina
26505,85294,instruct|hiunion|APID|biogrid|HINT-binary|intact
351,27079,innatedb|HIPPIE|HINT-complex
23595,222229,HINT-binary|HIPPIE|qubic|CoFrac
8481,9738,qubic
5757,53335,encode
3069,7319,CoFrac
10127,84851,encode
1487,2033,inweb|signalink|HIPPIE|HINT-complex
4609,6996,qubic|HIPPIE
3329,81627,bioplex
4357,10652,CoFrac
6598,677847,encode
8379,23473,intact|hiunion
5355,56681,intact|hiunion
3798,9693,instruct|APID|biogrid|HINT-binary|intact
56063,219738,hiunion
104,55342,hiunion
3476,151246,qubic
5711,10611,qubic
10567,11104,qubic
2530,8706,bioplex|HIPPIE
4149,170506,qubic
7555,23560,bioplex
3489,148304,intact|hiunion
7779,7782,APID|intact
25844,64327,bioplex
22981,51343,inweb
56915,64975,qubic
8065,26118,innatedb|HIPPIE|inweb|bioplex|HINT-complex
8089,54556,qubic|HIPPIE|inweb|bioplex|HINT-complex
3611,7692,instruct|APID|biogrid|mint|intact|pina
6137,64978,intact|bioplex|HIPPIE
347,4259,intact|hiunion
128977,150221,hiunion
2670,27285,bioplex
7023,11107,APID|intact|instruct
6500,26268,instruct|hiunion|qubic|APID|HINT-binary|inweb|HINT-complex
10548,29121,bioplex
23144,317772,bioplex|HIPPIE
4783,120379,intact|hiunion
5272,388646,pina|instruct
10112,79595,qubic
7015,26354,inweb
10100,169026,intact|hiunion
3169,90637,encode
1977,7391,encode
11052,27005,hiunion
6647,11051,qubic
8290,161436,intact
63827,64968,pina
91754,256364,qubic
7322,9867,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|pina|HINT-complex
10422,23321,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|mint|pina
2100,9611,HIPPIE
150,26750,signalink
23164,51474,qubic
4086,10395,mint|APID|intact
1738,2091,APID|intact
3598,57521,bioplex
6872,51118,encode
23390,64768,bioplex
10126,55093,intact|hiunion
23512,405753,encode
7316,79631,inweb
4751,90231,qubic
5411,51631,bioplex|HIPPIE
10488,54946,instruct|hiunion|APID|biogrid|intact|mint|pina
10111,642938,bioplex
9531,391723,intact|hiunion
3837,10736,bioplex
83899,386683,intact|hiunion
85027,130827,intact|hiunion
8924,115992,bioplex|HIPPIE
1499,55966,innatedb|inweb
2022,7040,instruct|innatedb|APID|HIPPIE|HINT-binary|intact|inweb|pina
4809,29896,CoFrac
1114,7343,instruct|APID|HINT-binary|intact|pina
150,5885,encode
3718,7297,innatedb|inweb
4609,84289,encode
10762,55274,bioplex|HIPPIE
2624,22858,signalink
6327,63892,bioplex|HIPPIE
5553,10048,bioplex|HIPPIE
4223,100534012,hiunion
3716,6709,intact
7545,51200,bioplex
4245,768211,bioplex
355,8717,inweb|HIPPIE
10082,79012,bioplex
7528,26156,inweb
7011,55833,intact|hiunion
5684,7316,inweb
5795,23633,signalink
5501,80179,qubic
1237,2563,mint|intact
873,874,qubic|bioplex|HIPPIE
1017,3658,PhosphoSP|KinomeNetX
6037,653269,bioplex
6733,9295,hiunion
7316,7443,inweb
332,8968,HINT-binary|interactome3d|instruct
55284,79102,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|pina
2661,51319,instruct|APID|biogrid|HINT-binary|intact
292,4087,innatedb
23451,51741,HIPPIE|HINT-complex
3309,8826,CoFrac
253714,255626,bioplex|HIPPIE
23281,55633,hiunion
5705,10928,bioplex
222662,286753,hiunion
3667,30837,innatedb
3482,6143,intact
5770,157638,instruct|APID|biogrid|HINT-binary|intact|mint
5691,5987,instruct|hiunion|APID|biogrid|HINT-binary|intact
293,9715,bioplex
9665,55802,qubic
472,10444,qubic
3064,9026,pina
3841,5879,signalink
23641,26574,instruct|hiunion|APID|biogrid|HINT-binary|intact|pina
54765,168374,bioplex
7874,11260,CoFrac
23770,64223,innatedb|inweb
55700,79745,APID|intact|instruct
7317,9911,instruct|APID|HIPPIE|HINT-binary|intact
5318,7421,signalink
10457,127343,intact
10419,84950,instruct|APID|biogrid|mint|intact|pina
10755,23677,instruct|HIPPIE|biogrid|HINT-binary|HINT-complex
284119,284119,interactome3d|intact|hiunion
5879,6280,innatedb
10733,57159,intact|hiunion
4205,9910,encode
5909,219681,signalink
8575,10244,instruct|APID|biogrid|mint|intact|pina
5092,9984,pina|APID|intact
25,9187,pina|APID|intact|instruct
9747,23089,bioplex
1876,401505,encode
7266,10869,bioplex
657,6559,qubic
8480,9972,inweb
5987,170954,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|mint|pina
4867,10188,instruct|APID|biogrid|HIPPIE|litbm17|inweb|pina|HINT-complex
10919,84779,intact|hiunion
10817,375791,intact|hiunion
7514,55135,signalink
2316,26030,qubic
2771,2783,pina|APID|biogrid|inweb
10236,23450,HINT-binary|CoFrac
3178,5536,CoFrac
3184,6182,CoFrac
602,26781,encode
1639,22924,interactome3d|insider|inweb|instruct
5119,27243,qubic
1024,8266,qubic
7046,81569,signalink
11284,56475,intact|hiunion
3868,338785,intact|hiunion
1080,8766,HINT-binary|innatedb|inweb|HIPPIE
54927,83755,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|pina
8445,8805,KinomeNetX
3064,6829,pina|APID|intact
9263,50943,signalink
23309,84629,qubic
7448,10940,bioplex
6667,114825,encode
2534,4288,APID|intact|instruct
3796,4149,encode
53371,339005,intact
87,9499,HIPPIE|biogrid|inweb
9212,11143,qubic
23085,23607,qubic
1186,148534,intact|hiunion
4430,54443,qubic
4056,219681,signalink
8986,55320,KinomeNetX
7415,10196,CoFrac
29960,51032,bioplex|HIPPIE
64101,84628,interactome3d|instruct|APID|HINT-binary|intact|insider|litbm17|inweb|mint|pina
23636,139562,intact|hiunion
29954,130132,bioplex
50488,50943,signalink
3312,5903,qubic
6688,9636,innatedb
1738,6731,APID|intact
7020,641371,bioplex|HIPPIE
4217,7185,inweb
4175,84515,inweb
54940,100288797,hiunion
1153,4076,CoFrac
51343,414899,APID|biogrid|instruct
9258,257629,APID|intact
7022,9592,encode
1846,5594,hiunion|signalink|intact|inweb|HINT-complex
56342,79954,bioplex
30817,283232,intact|hiunion
29123,57159,intact|hiunion
9610,84445,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
9975,83900,intact|hiunion
4152,10114,pina|APID|HIPPIE
10978,79869,inweb
2353,84280,pina|APID|intact
472,54904,instruct|APID|biogrid|HINT-binary|intact|mint|litbm17
10403,25936,HIPPIE|inweb|bioplex|CoFrac|HINT-complex
963,90993,intact|hiunion
3087,337967,intact|hiunion
1459,9150,inweb
2113,55367,signalink
9019,10664,encode
2122,10919,innatedb|inweb
5170,10307,instruct|APID|biogrid|HINT-binary|intact|litbm17
5789,145581,interactome3d|instruct
5494,9486,bioplex|HIPPIE
705,55536,instruct|hiunion|innatedb|APID|biogrid|HINT-binary|intact
6919,85302,instruct|APID|biogrid|HINT-binary|pina
3663,5496,innatedb
7283,51593,qubic
23219,28964,bioplex
3170,3175,inweb
54765,57062,bioplex
1729,5364,qubic
1856,57154,pina|inweb
89887,440295,intact|hiunion
2319,4478,qubic
23229,57862,hiunion
9493,57448,inweb
5566,81608,KinomeNetX
6908,8355,encode
7316,23429,APID|mint|intact|litbm17|inweb
10695,55631,bioplex|HIPPIE
5570,8655,inweb
1874,3054,APID|litbm17|biogrid|inweb
483,22976,APID|biogrid
2033,5447,encode
3010,339230,bioplex
8294,11143,HIPPIE
4666,84966,instruct|APID|biogrid|HINT-binary|intact
29950,120379,intact|hiunion
22806,256302,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
6452,7410,instruct|APID|HIPPIE|intact|mint|litbm17|inweb|HINT-complex
4154,10150,bioplex|HIPPIE
84908,90806,bioplex
8641,9451,bioplex
805,6908,encode
6844,55800,hiunion
8882,9525,CoFrac
4778,128989,encode
85293,199834,intact|hiunion
830,5000,qubic
9063,9189,instruct|hiunion|APID|biogrid|HINT-binary|intact
971,4067,innatedb|inweb
892,84445,instruct|hiunion|APID|biogrid|HINT-binary|intact
2877,4609,instruct|APID|biogrid|HINT-binary|intact
1499,4001,HIPPIE|HINT-complex
11346,23384,qubic
841,729359,instruct|APID|biogrid|intact|pina
81839,165829,bioplex
351,2039,innatedb
506,353345,bioplex
7916,10989,APID|intact|biogrid|instruct
6908,10075,inweb
5245,22794,instruct|APID|biogrid|HINT-binary|intact|mint
51386,54700,inweb
5108,55755,qubic
29093,63875,interactome3d
3554,23633,signalink
1012,56994,bioplex
5914,8125,inweb
989,10009,encode
408,5595,PhosphoSP|signalink|HIPPIE|KinomeNetX|inweb
8698,10572,inweb
6774,9169,encode|instruct|APID|biogrid|intact
22849,23043,intact
10987,150678,inweb|HIPPIE|HINT-complex
23326,27076,bioplex|HIPPIE
51661,84191,intact|hiunion
23639,153657,intact|hiunion
3123,255626,instruct
2012,2866,hiunion
2931,5504,HIPPIE
3396,51073,HIPPIE|HINT-binary|inweb|bioplex|CoFrac|HINT-complex
9817,26249,instruct|hiunion|APID|biogrid|HINT-binary|intact
5824,57452,bioplex|HIPPIE
6886,26823,encode
55048,137492,inweb
1017,5562,KinomeNetX
355,1616,instruct|APID|biogrid|HINT-binary|intact|litbm17|inweb|HINT-complex
861,115290,hiunion
3178,7341,inweb|HIPPIE
6103,57594,APID|biogrid|hiunion
6901,22795,bioplex|HIPPIE
57511,282991,bioplex
200894,219854,intact|hiunion
7542,221074,bioplex
771,114034,HINT-binary|APID|intact|instruct
7564,8833,pina|APID|intact|inweb
80125,85403,instruct|hiunion|APID|biogrid|intact|mint|pina
5885,10383,pina
6622,284382,signalink
